код,закупка,валюта,группа,подгруппа,наименование,описание,наличие,?
2578508,51000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WX3042WN,"Hitachi CP-WX3042WN LCD, WXGA, 1280x800, 3000 Lm, 10000:1, лампа 5000/10000 часов, TR 1.5-1.8, VGA x2, HDMI x2, композитный, компонентный, аудио mini jack, аудио RCA, USB (A) x2, USB (B), RS232, RJ45, MHL, 37/29 дБ, 3.1 кг, 320x85x245 мм, USB Display, Wi-fi (опция)",,?
2578537,70300.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WX30LWN,"Hitachi CP-WX30LWN LCD, WXGA, 1280x800, 3200 Lm, 10000:1, лампа 5000/10000 часов, TR 1.5-1.8, VGA x2, HDMI x2, композитный, компонентный, аудио mini jack, аудио RCA, USB (A) x2, USB (B), RS232, RJ45, MHL, 37/32 дБ, 3.3 кг, 325x95x245 мм, Wi-fi (опция)",,?
2578615,58800.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WX3541WN,"Hitachi CP-WX3541WN LCD, WXGA, 1280x800, 3700 Lm, 10000:1, лампа 5000/8000/10000 часов, TR 1.5-1.8, VGA x2, HDMI x2, композитный, компонентный, аудио mini jack, аудио RCA, USB (A) x2, USB (B), RS232, RJ45, MHL, 37/29 дБ, 3.1 кг, 320x85x245 мм, USB Display, Wi-fi (опция)",****,?
2578841,73676.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WX4022WN,"Hitachi CP-WX4022WN LCD, WXGA, 1280x800, 4000 Lm, 3000:1, лампа 3000/5000 часов, TR 1.5-2.5, VGA x2, HDMI, композитный, компонентный, аудио mini jack, аудио RCA, USB (A) x2, USB (B), RS232, RJ45, MHL, 36/30 дБ, 4.6 кг, 401x103x318 мм, USB Display, Wi-fi (опция)",***,?
2578631,164700.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WX5500GF,"Hitachi CP-WX5500GF Проектор Hitachi CP-WX5500 (со стандартным объективом), 3LCD, WXGA, 1280x800, 5 200 Lm, контрастность 10000:1, HDMI x2, вес 6.5 кг",,?
2578632,187700.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WX5505GF,"Hitachi CP-WX5505GF Проектор Hitachi CP-WX5505 (со стандартным объективом), 3LCD, WXGA, 1280x800, 5 200 Lm, контрастность 10000:1, сшивка и коррекция геометрии, HDMI x2, HDBaseT, вес 6.5 кг",,?
2578638,305900.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WX8265,"Hitachi CP-WX8265 LCD, WXGA, 1280x800, 6500 Lm, 3000:1, VGA, HDMI x2, RGB (BNC), S-Video, композитный, компонентный, аудио mini jack, аудио RCA, USB (тип A) x2, USB (тип B), RS-232, RJ45, вес 8.8 кг",,?
2578827,402000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WX8650-ML,"Hitachi CP-WX8650-ML Проектор Hitachi CP-WX8650W (со стандартным объективом ML-713), 3LCD, WXGA, 1280x800, 6 500 Lm, контрастность 10000:1, HDBaseT, HDMI x2, Display port, портретная ориентация, вес 11.1 кг",,?
2578639,349000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WX8650W,"Hitachi CP-WX8650W Проектор Hitachi CP-WX8650W (без объектива), 3LCD, WXGA, 1280x800, 6 500 Lm, контрастность 10000:1, HDBaseT, HDMI x2, Display port, портретная ориентация, вес 11.1 кг",,?
2578828,424000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WX8750-ML,"Hitachi CP-WX8750-ML Проектор Hitachi CP-WX8750W (со стандартным объективом ML-713), 3LCD, WXGA, 1280x800, 7 500 Lm, контрастность 10000:1, HDBaseT, HDMI x2, Display port, портретная ориентация, вес 11.1 кг",,?
